Date,Open,High,Low,Adj Close,Volume,sma,rsi,ma,std_dev,upperband,lowerband,EMA12,EMA26,MACD,Signal_Line,MACD_Histogram,Close,CloseY
2020-07-20,370,370,362.5,338.2220764,42769238,336.775,81.5951,336.775,20.4144,377.6038,295.9462,351.4574717,336.9499479,14.50752377,12.24861508,2.258908682,366,383
2020-07-21,372.5,387,371.5,353.9318848,64219128,340.2,84.7716,340.2,22.1528,384.5056,295.8944,356.3101684,340.3610629,15.94910546,12.98871316,2.960392301,383,384
2020-07-22,381,386,379,354.855896,43759670,343.8,87.1134,343.8,23.1564,390.1128,297.4872,360.5701425,343.5935768,16.9765657,13.78628367,3.190282033,384,381.5
2020-07-23,382,383,379,352.5457153,45209282,347.125,84.456,347.125,23.574,394.273,299.977,363.7901205,346.40146,17.38866058,14.50675905,2.881901531,381.5,386
2020-07-24,390,395,382,356.7041321,86682734,350.55,84.7716,350.55,24.0153,398.5806,302.5194,367.2070251,349.3346851,17.87233993,15.17987523,2.6924647,386,424.5
2020-07-27,420.5,424.5,416.5,392.282196,99333798,356.175,92.7757,356.175,27.4415,411.058,301.292,376.0213289,354.9024862,21.11884266,16.36766871,4.751173948,424.5,435
2020-07-28,464,466.5,428.5,401.9851685,166307746,362.275,93.2624,362.275,30.7047,423.6844,300.8656,385.0949706,360.8356354,24.2593352,17.94600201,6.31333319,435,422
2020-07-29,428,431.5,419.5,389.9719238,85663166,367.5,84.9498,367.5,31.5636,430.6272,304.3728,390.7726674,365.3663291,25.40633836,19.43806928,5.968269077,422,434
2020-07-30,436.5,441,428.5,401.0611267,69293949,373.1,85.6688,373.1,32.9703,439.0406,307.1594,397.4230263,370.4503047,26.97272159,20.94499974,6.027721847,434,425.5
2020-07-31,426,432,425.5,393.2062378,49897674,377.9,80.3797,377.9,33.2754,444.4508,311.3492,401.7425607,374.5280599,27.2145008,22.19889995,5.015600845,425.5,416
2020-08-03,420.5,424,415,384.4272461,76429571,381.8,74.5283,381.8,32.9219,447.6438,315.9562,403.9360129,377.6000555,26.33595743,23.02631145,3.309645985,416,425.5
2020-08-04,421.5,425.5,418.5,393.2062378,41223445,386.15,75.8929,386.15,32.6461,451.4422,320.8578,407.2535494,381.1481995,26.10534987,23.64211913,2.463230737,425.5,429
2020-08-05,430.5,433.5,426,396.4405823,47223834,390.55,76.0355,390.55,32.1673,454.8846,326.2154,410.5991572,384.6927773,25.90637984,24.09497127,1.811408568,429,435
2020-08-06,437.5,438,431,401.9851685,41029627,395.05,76.3158,395.05,31.7523,458.5546,331.5454,414.353133,388.4192383,25.93389472,24.46275596,1.471138759,435,433
2020-08-07,433.5,434,428,400.1369934,36589460,399.275,74.9263,399.275,30.8411,460.9572,337.5928,417.2218818,391.7215169,25.50036485,24.67027774,0.830087106,433,435.5
2020-08-10,427.5,437.5,427.5,402.4472961,36067500,403.325,74.3976,403.325,29.9575,463.24,343.41,420.0339,394.9643675,25.06953244,24.75012868,0.319403758,435.5,429
2020-08-11,432,435,429,396.4405823,34545313,406.6,70.0306,406.6,28.9376,464.4752,348.7248,421.4133,397.4855255,23.92777448,24.58565784,-0.657883357,429,419
2020-08-12,422,423.5,419,387.199585,52143474,409.4,66.185,409.4,27.1509,463.7018,355.0982,421.042023,399.0791903,21.96283279,24.06109283,-2.098260043,419,429
2020-08-13,428,429,424.5,396.4405823,44352335,412.975,70.1408,412.975,24.5392,462.0534,363.8966,422.2663272,401.2955465,20.97078066,23.4430304,-2.472249738,429,427
2020-08-14,424,428,423,394.5924377,23419955,415.975,67.6471,415.975,22.1766,460.3282,371.6218,422.9945845,403.1995801,19.79500442,22.7134252,-2.918420779,427,435
2020-08-17,427,435,425.5,401.9851685,34137731,419.425,69.4915,419.425,19.154,457.733,381.117,424.8415715,405.5551668,19.28640476,22.02802111,-2.741616355,435,433
2020-08-18,440,440.5,432,400.1369934,41643160,421.925,65.4321,421.925,17.3253,456.5756,387.2744,426.0967144,407.5881174,18.50859699,21.32413629,-2.815539299,433,427.5
2020-08-19,436,436.5,427.5,395.0544434,31486800,424.1,63.0631,424.1,14.8701,453.8402,394.3598,426.3126045,409.0630717,17.24953282,20.50921559,-3.259682776,427.5,415
2020-08-20,427,427.5,401,383.5031738,75097235,425.775,59.4901,425.775,11.27,448.315,403.235,424.5722038,409.5028441,15.06935966,19.42124441,-4.351884748,415,424.5
2020-08-21,421.5,427,420,392.282196,41609467,427.7,60.6061,427.7,6.3191,440.3382,415.0618,424.5610955,410.6137446,13.94735095,18.32646572,-4.379114766,424.5,428
2020-08-24,427.5,434.5,425,395.51651,48375406,427.875,51.1945,427.875,6.2742,440.4234,415.3266,425.0901577,411.9016153,13.18854241,17.29888105,-4.110338648,428,434.5
2020-08-25,433.5,436,430.5,401.5232239,35977899,427.85,49.8246,427.85,6.2452,440.3404,415.3596,426.5378258,413.5755698,12.96225603,16.43155605,-3.469300022,434.5,442
2020-08-26,435.5,442,435,408.453949,39243340,428.85,57.2993,428.85,6.8328,442.5156,415.1844,428.9166218,415.6810831,13.23553871,15.79235258,-2.556813872,442,444
2020-08-27,448,453.5,444,410.302124,53072712,429.35,53.937,429.35,7.557,444.464,414.236,431.2371415,417.7787807,13.45836088,15.32555424,-1.867193359,444,435
2020-08-28,440,440.5,431,401.9851685,56842210,429.825,53.7255,429.825,7.6007,445.0264,414.6236,431.8160428,419.0544265,12.76161631,14.81276665,-2.051150347,435,426.5
2020-08-31,437,439.5,426.5,394.1304016,81480538,430.35,54.1502,430.35,6.9284,444.2068,416.4932,430.9981901,419.6059505,11.3922396,14.12866124,-2.736421642,426.5,435
2020-09-01,430,435,428,401.9851685,37429577,430.825,53.7849,430.825,6.904,444.633,417.017,431.6138532,420.7462505,10.8676027,13.47644953,-2.608846834,435,433
2020-09-02,441,441,430.5,400.1369934,34871407,431.025,51.6129,431.025,6.9063,444.8376,417.2124,431.8271065,421.6539356,10.17317091,12.81579381,-2.6426229,433,436
2020-09-03,439.5,439.5,433.5,402.9094238,34951617,431.075,50.4132,431.075,6.9401,444.9552,417.1948,432.4690901,422.716607,9.752483086,12.20313166,-2.450648579,436,429
2020-09-04,427,432.5,427,396.4405823,46119911,430.875,48.4127,430.875,6.9394,444.7538,416.9962,431.935384,423.1820436,8.753340397,11.51317341,-2.759833014,429,426
2020-09-07,428,432.5,425,393.6683044,32019312,430.4,46.2451,430.4,6.9312,444.2624,416.5376,431.022248,423.3907811,7.631466889,10.73683211,-3.105365217,426,431
2020-09-08,428,433,427.5,398.2888794,23714670,430.5,50.8,430.5,6.9244,444.3488,416.6512,431.0188252,423.9544269,7.06439828,10.00234534,-2.937947062,431,427
2020-09-09,425,428,423,394.5924377,40551362,430.9,53.3613,430.9,6.4392,443.7784,418.0216,430.4005444,424.1800249,6.220519474,9.245980168,-3.025460694,427,435
2020-09-10,432.5,435,430.5,401.9851685,35098921,431.2,52.5641,431.2,6.4856,444.1712,418.2288,431.108153,424.9815046,6.126648393,8.622113813,-2.49546542,435,436.5
2020-09-11,435.5,436.5,432.5,403.3713684,34298469,431.675,54.0773,431.675,6.5097,444.6944,418.6556,431.9376679,425.8347264,6.102941438,8.118279338,-2.015337899,436.5,441
2020-09-14,436,442,435.5,407.5298462,39085833,431.975,52.6549,431.975,6.8026,445.5802,418.3698,433.3318728,426.95808,6.373792783,7.769382027,-1.395589244,441,445
2020-09-15,440.5,447,439.5,411.2262878,39061449,432.575,55.2174,432.575,7.4007,447.3764,417.7736,435.1269693,428.2945186,6.832450756,7.581995773,-0.749545017,445,458
2020-09-16,460,462,455.5,423.2396851,64261238,434.1,62.449,434.1,9.219,452.538,415.662,438.6458971,430.4949246,8.150972521,7.695791122,0.455181399,458,448.5
2020-09-17,453,455,446.5,416.7353821,42058506,435.775,64.0167,435.775,8.5877,452.9504,418.5996,440.1619129,431.8286339,8.333279061,7.82328871,0.509990351,448.5,444
2020-09-18,447,449.5,443,412.5540771,52454922,436.75,58.5153,436.75,8.3438,453.4376,420.0624,440.7523879,432.7302166,8.022171317,7.863065232,0.159106086,444,440
2020-09-21,443.5,450,440,408.8374329,39463920,437.35,55.2174,437.35,8.1096,453.5692,421.1308,440.6366359,433.268719,7.36791686,7.764035557,-0.396118698,440,437
2020-09-22,440,441,436,406.0498962,36130639,437.475,51.1211,437.475,8.0826,453.6402,421.3098,440.0771534,433.5451102,6.532043232,7.517637092,-0.98559386,437,433.5
2020-09-23,436,438.5,432,402.7977905,45710963,437.05,46.0465,437.05,8.0556,453.1612,420.9388,439.0652837,433.5417687,5.523514968,7.118812667,-1.595297699,433.5,423
2020-09-24,425.5,429,423,393.0414124,79806381,436,40.9483,436,8.4604,452.9208,419.0792,436.5937016,432.760897,3.83280462,6.461611058,-2.628806438,423,424
2020-09-25,427,428,421,393.9706421,38775269,435.45,44.9074,435.45,8.8762,453.2024,417.6976,434.656209,432.1119416,2.544267399,5.678142326,-3.133874927,424,431.5
2020-09-28,427,431.5,424.5,400.9394226,34156973,435.7,52.3364,435.7,8.6791,453.0582,418.3418,434.1706384,432.0666126,2.104025789,4.963319019,-2.85929323,431.5,431
2020-09-29,432.5,435,428,400.474884,32230502,435.5,47.9798,435.5,8.7419,452.9838,418.0162,433.6828479,431.9876043,1.695243607,4.309703936,-2.61446033,431,433
2020-09-30,430.5,435,430.5,402.3331299,27334204,435.5,50,435.5,8.7419,452.9838,418.0162,433.5777944,432.0625966,1.51519781,3.750802711,-2.235604901,433,432.5
2020-10-05,438,438,431.5,401.8686218,32945832,435.325,48.1865,435.325,8.7664,452.8578,417.7922,433.4119798,432.0949968,1.316983037,3.264038776,-1.947055739,432.5,439.5
2020-10-06,441.5,442,437.5,408.3728333,35775395,435.85,55.4404,435.85,8.6817,453.2134,418.4866,434.3485983,432.6435156,1.705082768,2.952247574,-1.247164807,439.5,443
